churn_month,product,billingCountry,starting_revenue,starting_customers,retained_revenue,retained_customers
2016-09-01,PRO,United States,30260.145833333325,348,23583.76249999993,267
2016-10-01,BUSINESS,Canada,4223.895,12,3371.9050000000007,11
2016-10-01,BUSINESS,France,4719.878333333332,13,3199.918333333333,9
2016-10-01,BUSINESS,India,16588.396666666664,47,10040.519999999999,34
2016-10-01,BUSINESS,United Kingdom,22961.0225,65,16439.155833333334,52
2016-10-01,BUSINESS,United States,28530.49083333334,82,20678.666666666664,64
2016-10-01,GURU,Canada,13652.128333333332,77,10344.276666666668,60
2016-10-01,GURU,France,14552.884999999997,83,9857.120000000003,59
2016-10-01,GURU,India,23526.82749999998,134,16657.17583333333,99
2016-10-01,GURU,United Kingdom,39268.465833333335,228,27675.012499999968,168
2016-10-01,GURU,United States,35227.05666666665,206,25767.513333333285,157
2016-10-01,PRO,Canada,12641.11666666666,144,9137.486666666664,106
2016-10-01,PRO,France,10873.698333333332,124,8159.9866666666685,95
2016-10-01,PRO,India,23168.44999999996,263,19537.80666666662,208
2016-10-01,PRO,United Kingdom,37274.249166666596,427,29151.208333333212,330
2016-10-01,PRO,United States,35837.1566666667,412,28096.182499999915,309
2016-11-01,BUSINESS,Canada,5359.866666666667,15,3023.9250000000006,9
2016-11-01,BUSINESS,France,7471.811666666666,20,4195.883333333333,13
2016-11-01,BUSINESS,India,15188.425,44,11356.496666666666,37
2016-11-01,BUSINESS,United Kingdom,27437.710833333338,77,19497.89083333333,59
2016-11-01,BUSINESS,United States,28626.491666666665,83,19306.683333333334,62
2016-11-01,GURU,Canada,14436.0825,82,11556.217500000002,68
2016-11-01,GURU,France,12579.385,75,10657.88166666667,64
2016-11-01,GURU,India,27241.04666666664,157,19357.416666666657,117
2016-11-01,GURU,United Kingdom,44686.602500000015,257,31465.237499999956,190
2016-11-01,GURU,United States,44010.63750000001,252,30300.87749999995,184
2016-11-01,PRO,Canada,14708.106666666654,167,11667.686666666665,130
2016-11-01,PRO,France,12898.701666666662,146,10391.09166666667,109
2016-11-01,PRO,India,27250.81916666661,310,21604.38083333327,234
2016-11-01,PRO,United Kingdom,41438.20583333322,477,33034.0983333332,369
2016-11-01,PRO,United States,41246.61500000004,472,33273.731666666565,360
2016-12-01,BUSINESS,Canada,6095.848333333333,17,4495.888333333334,13
2016-12-01,BUSINESS,France,9159.776666666665,25,5559.8566666666675,16
2016-12-01,BUSINESS,India,20988.283333333322,60,13443.648333333333,42
2016-12-01,BUSINESS,United Kingdom,34925.52333333334,99,25825.74333333332,78
2016-12-01,BUSINESS,United States,34394.34666666667,97,22814.59666666666,71
2016-12-01,GURU,Canada,16319.985,94,13756.145000000004,78
2016-12-01,GURU,France,16783.983333333326,99,12306.18166666667,76
2016-12-01,GURU,India,31771.221666666654,180,22355.678333333315,133
2016-12-01,GURU,United Kingdom,47598.45416666667,275,36464.56249999996,221
2016-12-01,GURU,United States,45936.1325,262,32400.775833333293,193
2016-12-01,PRO,Canada,14767.282499999988,172,12973.664166666664,134
2016-12-01,PRO,France,12345.951666666666,143,9798.24333333334,114
2016-12-01,PRO,India,29613.77499999997,338,22820.653333333255,250
2016-12-01,PRO,United Kingdom,43249.2141666666,500,34448.344999999834,387
2016-12-01,PRO,United States,44253.50750000001,509,35652.67583333325,392
2017-01-01,BUSINESS,Canada,9031.779999999999,25,6159.846666666666,17
2017-01-01,BUSINESS,France,7631.81,21,4795.868333333334,15
2017-01-01,BUSINESS,India,19591.513333333325,56,15551.613333333335,46
2017-01-01,BUSINESS,United Kingdom,31437.626666666652,91,24005.799166666653,72
2017-01-01,BUSINESS,United States,58650.48833333333,84,21594.64666666666,67
2017-01-01,GURU,Canada,18311.90166666666,105,14580.095000000003,84
2017-01-01,GURU,France,15860.016666666665,93,13073.755833333335,78
2017-01-01,GURU,India,34259.90499999998,195,26288.308333333287,153
2017-01-01,GURU,United Kingdom,52146.23916666667,301,41278.768333333304,243
2017-01-01,GURU,United States,48507.986666666664,277,37548.51583333329,219
2017-01-01,PRO,Canada,13308.655833333329,156,11360.953333333335,125
2017-01-01,PRO,France,14023.7825,162,11690.099166666672,130
2017-01-01,PRO,India,28623.109999999942,327,22879.899166666582,250
2017-01-01,PRO,United Kingdom,42125.33916666658,490,36002.2591666665,397
2017-01-01,PRO,United States,42082.95083333338,488,34637.91666666654,390
2017-02-01,BUSINESS,Canada,10951.73,30,6533.81,21
2017-02-01,BUSINESS,France,6687.831666666668,19,4831.880000000001,14
2017-02-01,BUSINESS,India,18151.553333333326,52,13315.661666666669,41
2017-02-01,BUSINESS,United Kingdom,28173.709166666657,81,23229.832499999993,68
2017-02-01,BUSINESS,United States,25066.57999999999,74,20870.644999999993,66
2017-02-01,GURU,Canada,27053.855,151,16086.390000000003,95
2017-02-01,GURU,France,34444.70833333339,192,18977.433333333327,113
2017-02-01,GURU,India,48114.424999999974,274,33336.751666666605,196
2017-02-01,GURU,United Kingdom,76884.2408333335,439,52725.37250000002,313
2017-02-01,GURU,United States,76891.38666666682,428,47828.790000000015,281
2017-02-01,PRO,Canada,13382.646666666662,157,10630.951666666668,126
2017-02-01,PRO,France,14399.738333333331,168,11694.05916666667,135
2017-02-01,PRO,India,25153.88416666659,292,21528.31083333327,249
2017-02-01,PRO,United Kingdom,37830.99666666655,444,33223.67083333315,374
2017-02-01,PRO,United States,39951.57666666667,467,33701.60249999984,384
2017-03-01,BUSINESS,Canada,8623.783333333335,24,6139.826666666668,20
2017-03-01,BUSINESS,France,9167.771666666666,25,5651.853333333334,17
2017-03-01,BUSINESS,India,17735.56166666666,51,14414.033333333333,44
2017-03-01,BUSINESS,United Kingdom,27917.718333333316,81,20729.858333333323,66
2017-03-01,BUSINESS,United States,24234.59583333332,72,19878.68583333333,63
2017-03-01,GURU,Canada,27969.806666666667,157,18338.274999999987,108
2017-03-01,GURU,France,40454.808333333334,226,25585.930833333325,150
2017-03-01,GURU,India,56516.401666666665,320,39043.240833333286,231
2017-03-01,GURU,United Kingdom,89989.15416666711,511,62775.28916666677,371
2017-03-01,GURU,United States,85818.15250000032,479,55840.40250000004,327
2017-03-01,PRO,Canada,14472.919166666661,172,12759.160833333335,148
2017-03-01,PRO,France,17978.572499999984,207,15720.942500000001,170
2017-03-01,PRO,India,24813.922499999913,289,21972.322499999926,248
2017-03-01,PRO,United Kingdom,38176.96499999987,448,32434.526666666487,371
2017-03-01,PRO,United States,41233.85250000002,482,34332.2941666665,395
2017-04-01,BUSINESS,Canada,9039.775000000001,25,7103.823333333335,20
2017-04-01,BUSINESS,France,12079.694999999998,33,7059.8150000000005,21
2017-04-01,BUSINESS,India,19159.52833333332,55,13167.659166666668,40
2017-04-01,BUSINESS,United Kingdom,26941.734999999982,78,19469.911666666656,60
2017-04-01,BUSINESS,United States,24570.59749999999,74,21470.64416666665,68
2017-04-01,GURU,Canada,32111.99666666665,181,23819.589999999975,141
2017-04-01,GURU,France,55838.838333333304,311,32251.984999999957,191
2017-04-01,GURU,India,61670.55750000002,348,44076.969999999994,260
2017-04-01,GURU,United Kingdom,96411.29750000051,554,70830.47916666685,420
2017-04-01,GURU,United States,85665.35750000032,483,59345.821666666765,351
2017-04-01,PRO,Canada,16368.733333333328,193,14199.095833333331,155
2017-04-01,PRO,France,21646.61749999999,245,16327.2475,181
2017-04-01,PRO,India,25793.81083333326,301,21389.124166666596,249
2017-04-01,PRO,United Kingdom,37283.864166666564,438,30938.60583333316,362
2017-04-01,PRO,United States,40847.47749999997,481,36018.152499999895,412
2017-05-01,BUSINESS,Canada,11095.726666666666,31,7135.8166666666675,21
2017-05-01,BUSINESS,France,13431.668333333331,37,8075.786666666667,24
2017-05-01,BUSINESS,India,17793.157499999994,51,13277.259166666669,41
