metric_month,product,billingCountry,customers_acquired,cancelled_customers,customer_base
2017-09-01,BUSINESS,United States,20,21,82
2017-09-01,PRO,United Kingdom,87,112,453
2017-09-01,BUSINESS,Canada,7,7,27
2017-09-01,GURU,Canada,130,96,356
2017-09-01,PRO,Canada,63,48,219
2017-09-01,BUSINESS,United Kingdom,17,17,73
2017-09-01,GURU,India,165,125,502
2017-09-01,PRO,France,163,115,420
2017-09-01,PRO,India,64,50,308
2017-09-01,BUSINESS,France,31,16,74
2017-09-01,BUSINESS,India,14,12,64
2017-10-01,PRO,United Kingdom,101,98,427
2017-10-01,PRO,United States,81,105,492
2017-10-01,BUSINESS,France,35,22,86
2017-10-01,GURU,United States,175,197,740
2017-10-01,BUSINESS,United Kingdom,17,15,74
2017-10-01,GURU,Canada,148,136,387
2017-10-01,PRO,India,77,73,310
2017-10-01,PRO,France,228,145,458
2017-10-01,BUSINESS,United States,19,20,77
2017-10-01,GURU,France,421,305,903
2017-10-01,PRO,Canada,55,59,234
2017-10-01,BUSINESS,Canada,8,7,30
2017-10-01,GURU,India,126,136,555
2017-10-01,BUSINESS,India,12,17,65
2017-10-01,GURU,United Kingdom,197,172,770
2017-11-01,BUSINESS,Canada,7,8,31
2017-11-01,GURU,Canada,144,136,399
2017-11-01,PRO,India,70,99,321
2017-11-01,BUSINESS,India,9,15,59
2017-11-01,GURU,India,145,159,539
2017-11-01,PRO,Canada,63,58,230
2017-11-01,GURU,United States,185,194,720
2017-11-01,GURU,France,480,368,1019
2017-11-01,PRO,United Kingdom,97,116,430
2017-11-01,BUSINESS,United States,10,22,76
2017-11-01,BUSINESS,France,39,37,98
2017-11-01,PRO,United States,89,105,466
2017-11-01,BUSINESS,United Kingdom,15,23,73
2017-11-01,GURU,United Kingdom,208,202,798
2017-11-01,PRO,France,227,195,542
2017-12-01,GURU,United Kingdom,163,247,810
2017-12-01,BUSINESS,Canada,10,9,30
2017-12-01,GURU,France,384,482,1134
2017-12-01,BUSINESS,India,6,13,51
2017-12-01,PRO,United Kingdom,75,132,406
2017-12-01,BUSINESS,United States,14,13,61
2017-12-01,GURU,India,117,161,527
2017-12-01,BUSINESS,France,34,37,102
2017-12-01,PRO,India,807,99,292
2017-12-01,PRO,France,166,242,569
2017-12-01,GURU,Canada,112,174,410
2017-12-01,PRO,United States,84,126,444
2017-12-01,BUSINESS,United Kingdom,12,19,64
2017-12-01,GURU,United States,186,218,720
2017-12-01,PRO,Canada,59,78,232
